,respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,twitter_users,insta_users,facebook_users,snap_users,youtube_users,web1f,web1g,web1h,web1i,twitter_time,insta_time,facebok_time,snap_time,youtube_time,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
845,100880,2,1,190114,1,2,29,2,29021,U,2,1,1,1,2,1,1,3,,,1,2,,,,,,,,,,,1,2,2,2,1,2,2,2,2,1,,,,4,1,1,2,15,1,1,1,48,1,7,1,2,1,,,,1,,8,3,1,5,3,,,2,0.6010848,0.4584356
846,100882,2,1,190114,1,2,17,5,55025,U,2,2,1,1,1,1,1,2,,,1,2,,,,,,,,,,,1,1,1,1,1,1,2,1,1,3,1,1,4,2,2,1,2,40,1,1,1,28,6,6,1,2,1,,,,1,,6,2,,1,,,,2,2.0392021,1.6432142
847,100884,2,1,190114,1,4,15,4,15003,S,2,2,1,1,4,1,1,2,,,1,2,,,,,,,,,,,1,2,1,2,2,2,1,1,2,3,,2,,,1,1,1,10,1,2,1,99,1,6,3,2,3,,,,3,,99,2,,4,4,,,1,1.558973,1.5436117
848,100889,2,1,190114,1,4,8,2,8069,U,2,1,1,1,1,2,1,2,,,1,3,,,,,,,,,,,2,2,2,2,1,2,2,1,1,,,,,3,1,1,2,10,1,1,1,26,6,7,8,2,1,,,,1,,5,5,2,1,,,,1,0.5224633,0.6336739
849,100891,2,1,190114,1,4,53,4,35001,U,2,1,1,1,2,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,2,2,3,4,4,3,2,1,2,3,1,1,2,26,2,6,1,2,1,,,,1,,6,2,,2,2,,,2,0.7611201,0.5759261
850,100893,2,1,190114,1,4,4,3,4013,S,2,1,1,1,1,1,1,2,,,1,1,,,,,,,,,,,1,1,1,1,1,1,1,2,1,3,2,5,3,2,2,1,1,50,1,2,2,18,6,2,2,2,1,,,,1,,9,3,1,8,3,,,1,0.7865579,0.639844
851,100894,2,1,190114,1,4,6,3,6073,U,2,1,1,1,1,2,1,2,,,1,1,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,1,2,2,2,96,1,2,2,39,6,7,1,2,1,,,,1,,9,1,,1,,,,2,0.5900639,0.534377
852,100895,2,1,190114,1,4,6,5,6037,S,2,2,1,1,2,1,1,2,,,1,3,,,,,,,,,,,1,1,1,2,1,1,1,1,2,1,1,5,,5,1,1,2,2,1,2,2,30,6,6,5,2,2,,,,2,,6,2,,1,,,,1,1.4770307,2.0699671
853,100896,2,1,190114,1,4,6,4,6085,U,2,1,1,1,2,1,2,,,,2,,1,2,1,1,,1,2,2,,1,2,2,1,2,1,2,2,2,2,,,1,,3,1,1,2,2,1,2,2,99,6,4,99,2,1,,,,1,,99,3,2,4,2,,,2,0.5679692,0.4803671
854,100897,2,1,190114,1,4,6,3,6097,S,2,1,1,1,2,1,2,,,,1,1,2,2,1,2,1,1,2,1,work provides a hotspot,1,2,2,1,2,2,2,2,2,2,,,4,,,2,1,2,3,2,2,2,56,3,5,1,2,1,,,,1,,7,2,,1,,,,2,0.5993579,0.5322566
