,respid,sample,comp,int_date,lang,cregion,state,density,sfips,usr,qs1,sex,eminuse,intmob,intfreq,snsint2,home4nw,bbhome1,bbhome2,device1a,smart2,q20,bbsmart1,bbsmart2,bbsmart3a,bbsmart3b,bbsmart3c,bbsmart3d,bbsmart3e,bbsmart3f,bbsmart3foe@,bbsmart4,twitter_users,insta_users,facebook_users,snap_users,youtube_users,web1f,web1g,web1h,web1i,twitter_time,insta_time,facebok_time,snap_time,youtube_time,device1b,device1c,device1d,books1,books2a,books2b,books2c,age,marital,educ2,emplnw,hisp,racem1,racem2,racem3,racem4,racecmb,birth_hisp,inc,party,partyln,hh1,hh3,ql1,ql1a,qc1,weight,cellweight
0,4,1,1,190108,1,3,37,2,37069,S,,2,1,1,5,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,,5,2,2,1,2,1,2,2,2,2,,,1,,5,2,2,2,0,,,,75,1,3,4,2,2,,,,2,,3,2,,2,2,1,,,1.1438266,
1,7,1,1,190108,1,2,39,3,39025,S,,1,1,1,2,2,1,2,,1,1,2,,,,,,,,,,,2,2,2,2,2,2,1,2,2,,,,,,1,1,1,0,,,,56,1,4,1,2,1,,,,1,,8,1,,2,2,1,,,0.6114926,
2,9,1,1,190108,1,1,34,4,34025,S,,2,1,1,2,1,1,2,,1,1,1,,,,,,,,,,,1,1,1,2,1,2,1,1,2,2,4,3,,5,1,1,2,3,1,2,2,65,1,6,3,2,1,,,,1,,7,1,,2,2,1,,,0.4247968,
3,10,1,1,190108,1,2,18,3,18039,S,,2,1,2,3,1,1,2,,1,2,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,2,,4,2,1,2,20,1,2,1,67,1,3,3,2,1,5,,,4,,6,3,2,2,2,1,,,1.3235625,
4,11,1,1,190114,1,2,26,2,26027,S,,1,1,1,4,1,1,2,,1,2,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,3,,5,1,1,2,20,1,2,1,64,1,5,1,2,1,,,,1,,7,3,1,2,2,1,,,0.6394523,
5,13,1,1,190108,1,1,34,5,34017,U,,2,1,1,1,1,1,3,,2,,,,,,,,,,,,,2,1,1,2,1,2,1,2,2,,3,1,,1,2,1,1,2,1,2,2,33,6,3,4,1,7,,,,5,1,1,3,1,1,,2,,,1.91362,
6,14,1,1,190108,1,1,36,5,36119,U,,1,1,1,2,1,1,2,,1,1,3,,,,,,,,,,,1,2,1,2,1,1,2,2,2,3,,2,,3,2,1,2,2,1,2,2,50,3,5,3,1,1,2,,,4,1,4,3,2,2,2,1,,,1.3302195,
7,15,1,1,190115,1,3,47,2,47073,S,,1,2,2,,2,2,,,1,2,,2,2,2,8,,2,8,2,,,2,2,2,2,8,2,2,2,2,,,,,,2,2,2,0,,,,78,3,1,3,2,1,,,,1,,99,4,9,1,,1,,,0.8333559,
8,16,1,1,190108,1,2,26,1,26033,R,,2,1,1,2,1,1,2,,1,1,1,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,2,,2,2,1,2,4,1,2,2,70,1,4,3,2,1,,,,1,,7,1,,2,2,1,,,0.6696295,
9,17,1,1,190108,1,2,26,3,26065,S,,1,1,1,1,2,1,2,,1,1,2,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,4,1,1,2,50,1,2,1,60,1,8,1,2,3,,,,3,,9,1,,3,3,1,,,0.6463056,
10,18,1,1,190108,1,3,37,2,37057,S,,2,1,1,2,2,1,2,,1,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,2,1,1,1,7,1,2,2,62,1,8,2,2,1,,,,1,,99,2,,3,3,1,,,0.6967772,
11,20,1,1,190108,1,3,21,4,21111,U,,1,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,1,,,1,1,2,0,,,,71,2,6,3,2,1,,,,1,,99,9,9,9,9,9,9,,0.3952943,
12,21,1,1,190108,1,2,26,4,26125,S,,1,1,1,2,2,1,2,,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,1,15,1,2,2,55,1,3,1,2,1,,,,1,,9,3,1,3,2,1,,,0.843741,
13,22,1,1,190108,1,3,45,3,45019,S,,1,1,1,1,1,1,3,,1,1,2,,,,,,,,,,,1,2,1,2,1,2,1,1,2,5,,1,,1,1,1,1,40,1,1,2,56,1,5,1,2,1,,,,1,,9,1,,2,2,1,,,0.6395262,
14,23,1,1,190108,1,3,21,4,21111,U,,1,1,2,2,2,1,3,,1,2,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,2,,5,2,1,2,0,,,,58,3,4,3,2,2,,,,2,,5,2,,1,,1,,,0.6217296,
15,27,1,1,190108,1,2,55,1,55045,S,,2,1,1,5,2,2,,,1,2,,2,2,1,1,,1,2,1,I REALLY WOULDN'T USE IT BECAUSE I'M OLD,6,2,2,1,2,2,2,2,2,2,,,5,,,1,2,2,5,1,2,2,87,5,4,3,2,1,,,,1,,4,3,2,2,2,1,,,0.6696295,
16,28,1,1,190110,1,2,55,3,55133,S,,1,2,2,,2,1,2,,1,2,,,,,,,,,,,,2,2,2,2,1,2,2,1,2,,,,,3,1,1,1,30,1,2,1,99,9,6,2,9,9,,,,9,,7,1,,3,3,1,,,0.4542954,
17,30,1,1,190108,1,2,19,1,19001,R,,1,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,1,1,1,1,1,,,2,,4,1,1,2,2,1,2,2,62,5,8,2,2,1,,,,1,,9,2,,1,,1,,,0.3474053,
18,31,1,1,190108,1,3,48,4,48453,U,,1,2,2,,2,2,,,1,2,,2,2,2,2,,2,2,1,I HAVE NEVER LEARNED HOW TO USE A COMPUTER,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,6,1,2,2,96,5,8,3,2,1,,,,1,,9,2,,1,,1,,,0.3474053,
19,32,1,1,190108,1,3,22,2,22017,S,,2,1,1,3,1,2,,,1,1,2,1,2,1,1,1,1,1,2,,3,2,2,1,2,2,2,1,2,2,,,2,,,1,1,2,3,1,2,2,68,1,5,3,2,1,,,,1,,5,2,,2,2,1,,,0.7821782,
20,34,1,1,190125,1,3,48,5,48201,U,,2,1,1,5,2,1,2,,1,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,6,1,2,2,78,5,3,3,2,2,,,,2,,1,3,8,1,,1,,,1.0660574,
21,35,1,1,190108,1,3,48,1,48455,R,,2,1,2,2,1,1,2,,1,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,4,,,2,1,2,15,1,2,1,65,3,3,3,2,1,,,,1,,2,1,,1,,1,,,0.6882725,
22,36,1,1,190108,1,3,1,1,1011,R,,1,2,2,,2,2,,,1,2,,2,2,2,2,,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,76,3,1,3,2,2,,,,2,,1,1,,1,,1,,,0.8127127,
23,37,1,1,190108,1,4,49,4,49035,S,,2,1,1,1,2,1,2,,1,1,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,0,,,,72,9,4,3,1,7,,,,5,1,6,1,,2,2,1,,,0.9584345,
24,38,1,1,190117,1,4,4,2,4019,U,,1,1,1,2,1,1,2,,1,1,3,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,5,,3,1,1,2,12,1,2,2,65,1,6,99,9,9,,,,9,,99,9,9,9,9,9,9,,0.3474053,
25,40,1,1,190108,1,3,51,1,51027,R,,1,1,1,2,1,1,2,,1,1,1,,,,,,,,,,,2,1,1,2,1,2,2,2,2,,3,3,,3,2,1,2,0,,,,37,3,3,1,2,1,,,,1,,4,3,1,3,1,1,,,1.0486956,
26,41,1,1,190109,1,1,42,2,42073,R,,2,1,1,3,1,1,2,,1,2,,,,,,,,,,,,2,1,1,2,2,2,2,2,2,,2,1,,,1,1,2,4,1,2,2,85,1,3,3,2,1,,,,1,,98,2,,2,2,1,,,1.0126701,
27,42,1,1,190109,1,3,12,2,12089,S,,2,1,1,2,1,1,3,,1,1,2,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,1,,3,1,1,2,5,1,2,2,66,1,5,3,2,1,,,,1,,99,1,,2,2,1,,,0.7821782,
28,43,1,1,190109,1,1,42,3,42075,S,,2,1,2,5,2,1,2,,1,2,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,0,,,,57,1,3,6,2,1,,,,1,,99,2,,2,2,1,,,1.2186536,
29,44,1,1,190109,1,3,24,3,24025,S,,2,1,1,3,1,1,2,,1,1,4,,,,,,,,,,,2,2,1,2,1,2,1,1,2,,,2,,2,2,1,1,2,1,2,2,41,1,6,4,2,2,,,,2,,7,1,,3,2,1,,,1.0474918,
30,45,1,1,190109,1,3,12,4,12031,U,,2,1,1,2,1,1,2,,1,1,1,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,1,2,1,0,,,,50,3,3,1,2,2,,,,2,,5,2,,1,,1,,,1.2407562,
31,46,1,1,190109,1,3,12,4,12057,S,,2,1,1,1,1,1,2,,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,2,2,2,50,1,2,2,79,3,6,3,2,1,,,,1,,4,2,,5,3,2,1,,1.8047295,
32,47,1,1,190109,1,1,42,4,42091,S,,2,1,1,2,1,1,2,,1,2,,,,,,,,,,,,2,1,1,2,1,2,2,2,1,,3,1,,4,1,1,2,4,1,2,1,72,5,7,3,2,1,,,,1,,4,2,,1,,1,,,0.3474053,
33,48,1,1,190109,1,3,12,3,12081,S,,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,1,1,2,,3,2,2,1,2,2,2,2,2,2,,,5,,,1,1,2,4,2,1,2,78,3,6,3,2,1,,,,1,,6,1,,2,2,1,,,0.4171403,
34,49,1,1,190109,1,1,33,3,33011,S,,1,1,1,3,2,1,2,,1,2,,,,,,,,,,,,1,2,1,2,1,2,2,2,2,2,,2,,3,2,1,2,20,1,2,2,71,1,4,3,2,1,,,,1,,4,3,2,2,2,1,,,0.7210039,
35,50,1,1,190109,1,1,42,2,42013,S,,2,1,1,1,1,1,2,,1,1,1,,,,,,,,,,,1,1,1,2,1,1,1,2,1,1,3,3,,1,1,1,2,14,1,2,1,44,3,4,3,2,1,,,,1,,2,2,,1,,1,,,1.3456699,
36,51,1,1,190109,1,3,12,4,12011,S,,2,1,1,1,1,1,2,,1,1,1,,,,,,,,,,,2,1,1,2,1,2,1,1,1,,4,1,,1,1,1,1,97,1,1,1,68,3,6,3,2,1,,,,1,,9,2,,2,2,1,,,0.4405172,
37,52,1,1,190109,1,3,12,3,12127,S,,1,1,2,2,1,1,2,,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,2,2,1,2,1,1,2,2,70,1,3,3,2,1,,,,1,,6,1,,2,2,2,2,,2.2433447,
38,53,1,1,190109,1,1,42,2,42061,R,,2,1,1,1,1,1,2,,1,1,3,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,5,,5,1,1,2,96,1,2,1,66,1,7,1,2,1,,,,1,,99,3,2,2,2,1,,,0.4687699,
39,55,1,1,190109,1,3,12,3,12099,S,,2,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,5,2,1,2,20,1,2,2,63,3,4,3,2,1,,,,1,,9,2,,1,,1,,,0.6890216,
40,57,1,1,190109,1,1,9,2,9005,R,,1,2,2,,2,1,2,,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,3,,3,2,2,2,0,,,,53,3,3,99,2,1,,,,1,,1,4,9,2,2,2,1,,2.2433447,
41,58,1,1,190109,1,3,45,2,45091,S,,2,1,1,2,1,1,2,,1,2,,,,,,,,,,,,2,1,1,2,1,2,1,2,2,,2,1,,2,1,1,2,96,1,2,1,99,1,7,3,2,1,,,,1,,99,1,,2,2,1,,,0.4861176,
42,61,1,1,190109,1,3,11,5,11001,U,,2,2,1,4,2,2,,,1,2,,2,2,1,2,,2,2,2,,,2,2,2,2,2,8,2,2,2,,,,,,2,2,2,25,1,2,2,90,5,3,3,2,2,,,,2,,2,2,,1,,1,,,1.0660574,
43,62,1,1,190109,1,2,26,5,26163,S,,2,1,1,4,1,1,2,,1,2,,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,3,,3,1,1,2,96,1,2,1,78,5,5,4,2,1,,,,1,,5,1,,1,,1,,,0.6970421,
44,63,1,1,190109,1,1,25,4,25021,S,,1,1,1,2,1,1,2,,1,1,3,,,,,,,,,,,1,2,1,2,1,2,2,2,2,3,,1,,3,1,1,1,0,,,,49,1,3,4,2,1,,,,1,,3,3,2,4,3,1,,,1.2921887,
45,65,1,1,190109,1,2,39,3,39153,S,,1,1,1,2,2,1,2,,1,1,3,,,,,,,,,,,2,2,2,2,1,2,1,2,2,,,,,2,1,1,1,0,,,,41,1,4,1,2,1,,,,1,,9,2,,4,2,1,,,1.1328572,
46,66,1,1,190109,1,2,39,2,39077,R,,1,1,2,2,2,1,2,,1,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,5,2,1,2,12,1,2,2,86,1,6,3,2,1,,,,1,,3,1,,2,2,1,,,0.417092,
47,68,1,1,190109,1,2,26,2,26005,R,,2,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,2,,,1,1,1,0,,,,62,1,3,3,2,1,,,,1,,6,3,8,2,2,1,,,1.2636061,
48,69,1,1,190109,1,2,39,2,39011,R,,2,1,1,2,1,1,2,,1,1,1,,,,,,,,,,,2,1,1,2,1,2,1,2,2,,2,2,,2,1,1,2,40,2,1,2,68,1,8,3,2,1,,,,1,,99,2,,9,2,1,,,0.4648087,
49,71,1,1,190109,1,3,37,3,37071,U,,2,1,1,3,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,1,2,1,1,2,,,2,,3,1,1,1,1,2,1,1,56,1,4,6,2,1,,,,1,,6,3,1,5,4,1,,,1.072115,
50,72,1,1,190109,1,3,47,3,47065,U,,2,1,1,5,1,1,2,,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,1,2,2,12,1,2,2,59,1,2,4,2,1,,,,1,,1,2,,4,3,2,1,,2.2433447,
51,74,1,1,190109,1,1,36,5,36119,S,,2,1,2,4,2,1,2,,2,,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,5,2,1,1,0,,,,57,4,5,1,1,1,,,,1,1,99,4,8,1,,2,,,2.2433447,
52,75,1,1,190109,1,3,37,3,37057,S,,2,1,1,2,1,1,2,,1,1,1,,,,,,,,,,,2,2,1,2,1,2,1,1,2,,,3,,4,1,1,1,1,1,2,2,58,1,7,1,2,1,,,,1,,9,1,,3,3,1,,,0.666311,
53,76,1,1,190109,1,1,34,4,34027,S,,2,1,1,1,1,1,2,,1,1,3,,,,,,,,,,,1,1,1,1,1,2,1,1,2,2,1,1,3,1,2,1,2,3,1,2,1,57,1,7,1,2,1,,,,1,,8,3,2,5,5,1,,,0.6088829,
54,78,1,1,190109,1,2,17,1,17135,R,,2,2,2,,1,2,,,1,1,8,2,2,1,9,2,2,2,2,,,2,2,1,2,2,2,2,2,2,,,3,,,2,2,2,0,,,,77,5,3,3,2,1,,,,1,,3,3,8,1,,1,,,0.6581021,
55,79,1,1,190109,1,3,47,1,47003,R,,2,2,2,,1,1,2,,1,1,1,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,3,,,1,2,2,0,,,,68,5,4,6,2,1,,,,1,,2,2,,1,,1,,,0.5126448,
56,80,1,1,190109,1,3,40,1,40087,S,,1,1,1,2,2,1,1,2,1,1,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,2,2,88,2,2,2,65,1,6,3,2,1,,,,1,,7,2,,2,2,1,,,0.3905665,
57,81,1,1,190109,1,2,27,3,27037,U,,2,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,2,1,2,1,2,,,3,,,1,1,2,10,1,2,1,73,1,8,3,2,1,,,,1,,7,2,,2,2,1,,,0.4444852,
58,82,1,1,190109,1,3,48,2,48041,U,,2,2,2,,2,2,,,1,2,,2,2,2,2,,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,2,1,2,2,98,2,6,3,2,1,,,,1,,6,1,,2,2,1,,,0.4861176,
59,83,1,1,190109,1,2,19,1,19015,R,,2,2,2,,2,2,,,2,,,2,2,1,2,,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,80,3,3,4,2,1,,,,1,,98,2,,1,,2,,,1.3193135,
60,84,1,1,190109,1,3,1,3,1089,U,,2,2,2,,2,2,,,2,,,2,2,2,2,,2,8,1,not interest to old,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,48,1,2,2,86,5,6,3,2,1,,,,1,,6,4,8,1,,2,,,0.6821721,
61,85,1,1,190109,1,2,55,3,55025,U,,1,1,1,4,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,1,2,2,1,2,,,2,,4,1,1,2,30,1,2,2,50,6,6,1,2,1,,,,1,,7,2,,1,,1,,,0.357555,
62,86,1,1,190109,1,3,47,1,47043,S,,2,1,1,4,1,1,2,,1,1,1,,,,,,,,,,,2,2,1,1,2,2,2,2,2,,,3,3,,2,2,2,3,1,2,2,72,5,5,4,2,1,,,,1,,9,3,1,1,,1,,,0.5126448,
63,87,1,1,190109,1,4,2,1,2090,S,,1,1,2,3,1,1,1,1,1,2,,2,1,2,2,,2,1,2,,,2,2,2,2,1,2,2,2,2,,,,,3,2,1,2,4,1,2,2,73,1,3,3,2,1,,,,1,,6,1,,2,2,1,,,0.8117994,
64,89,1,1,190109,1,2,55,3,55139,U,,2,1,2,3,2,1,2,,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,3,1,2,2,79,5,6,3,2,1,,,,1,,4,3,2,1,,2,,,0.6522691,
65,90,1,1,190109,1,4,32,2,32003,U,,2,1,1,3,1,1,2,,2,,,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,2,,1,1,1,2,0,,,,60,3,4,6,2,1,,,,1,,2,3,8,4,2,2,1,,2.1410665,
66,91,1,1,190109,1,4,53,1,53045,R,,2,1,1,4,1,1,2,,1,1,1,,,,,,,,,,,2,1,1,2,2,2,2,2,2,,5,1,,,2,2,2,0,,,,43,3,4,1,2,9,,,,9,,3,3,1,1,,1,,,0.9950692,
67,92,1,1,190204,1,2,18,1,18131,R,,2,1,2,2,1,1,8,,1,2,,8,2,1,2,,2,2,2,,,2,2,1,2,2,2,2,2,2,,,1,,,1,2,2,0,,,,98,9,99,99,9,9,,,,9,,99,9,9,9,9,9,9,,0.4161694,
68,93,1,1,190110,1,2,39,1,39001,R,,2,1,1,3,1,2,,,1,1,1,2,2,2,1,1,1,2,2,,3,2,2,1,2,2,2,2,2,2,,,2,,,2,2,2,0,,,,99,2,3,4,2,5,,,,5,,1,1,,2,1,1,,,0.9071357,
69,95,1,1,190110,1,3,12,2,12001,U,,2,1,1,2,1,1,2,,1,1,3,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,3,,4,2,2,2,96,1,1,1,57,3,3,1,2,1,,,,1,,5,2,,1,,1,,,0.9673724,
70,96,1,1,190110,1,3,12,4,12031,U,,1,1,1,2,1,1,2,,1,2,,,,,,,,,,,,1,2,1,1,1,2,1,2,2,1,,2,5,2,1,1,1,50,2,2,1,79,1,6,3,2,1,,,,1,,8,1,,2,2,1,,,0.3952943,
71,98,1,1,190110,1,1,9,4,9003,S,,2,1,1,2,1,1,2,,1,1,3,,,,,,,,,,,1,2,1,2,1,2,1,2,2,4,,2,,3,1,1,2,48,1,2,1,71,1,7,3,2,1,,,,1,,6,1,,2,2,1,,,0.4247968,
72,99,1,1,190110,1,3,12,4,12011,S,,2,1,2,5,1,1,2,,1,2,,,,,,,,,,,,2,2,2,2,1,2,2,2,2,,,,,3,1,1,2,12,1,2,1,58,3,6,1,2,2,,,,2,,7,2,,2,1,1,,,0.5333337,
73,101,1,1,190110,1,3,12,4,12095,S,,2,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,1,2,1,2,1,2,2,2,2,1,,1,,2,1,1,1,10,1,2,2,39,1,7,1,2,1,,,,1,,6,2,,4,2,1,,,1.022653,
74,102,1,1,190116,1,3,11,5,23009,R,,2,1,1,1,2,1,2,,2,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,24,1,2,2,58,1,7,1,2,1,,,,1,,6,3,2,3,2,1,,,0.7788899,
75,103,1,1,190110,1,1,42,4,42017,S,,2,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,1,,,1,1,2,10,1,2,2,53,6,7,1,2,1,,,,1,,8,2,,1,,1,,,0.5006882,
76,105,1,1,190110,1,3,51,4,51153,S,,2,1,1,2,1,1,3,,1,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,1,,,1,2,2,0,,,,79,1,3,3,2,1,,,,1,,99,3,2,2,2,1,,,0.9516365,
77,109,1,1,190110,1,3,13,5,13089,S,,2,1,1,5,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,1,2,1,2,2,,,5,,5,1,2,2,98,1,2,2,48,1,6,1,2,2,,,,2,,7,2,,3,3,1,,,1.2644621,
78,110,1,1,190110,1,3,45,3,45063,S,,2,1,1,2,1,1,2,,2,,,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,2,,1,2,1,2,1,1,2,2,51,1,4,3,2,1,,,,1,,1,1,,2,2,2,2,,2.2433447,
79,111,1,1,190110,1,2,39,2,39133,S,,1,1,1,2,2,1,2,,1,1,1,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,0,,,,55,1,3,1,2,1,,,,1,,99,9,9,9,9,9,9,,0.9310815,
80,114,1,1,190110,1,1,36,3,36067,S,,1,1,1,2,1,1,2,,1,1,1,,,,,,,,,,,2,2,1,1,1,2,2,2,2,,,1,1,3,2,2,1,5,1,2,2,18,6,2,2,2,2,,,,2,,1,3,8,4,2,1,,,0.8337506,
81,116,1,1,190110,1,1,36,1,36019,R,,2,1,1,3,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,2,1,1,2,2,,,1,,,2,1,2,0,,,,50,1,5,4,2,1,,,,1,,98,9,9,1,,2,,,1.675309,
82,117,1,1,190110,1,3,37,4,37119,U,,2,1,1,2,1,1,1,1,1,1,3,2,1,2,2,2,2,1,2,,,2,1,1,2,1,2,1,1,2,,5,1,,2,1,1,1,4,1,1,1,72,1,8,3,2,1,,,,1,,9,1,,3,3,1,,,0.5017486,
83,118,1,1,190110,1,1,9,3,36081,U,,1,1,2,2,2,1,2,,1,1,3,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,8,98,8,2,2,19,6,1,4,8,1,,,,1,,1,3,8,1,,1,,,0.6120733,
84,119,1,1,190110,1,3,40,1,40015,R,,2,2,2,,2,2,,,1,1,9,1,2,1,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,2,1,2,10,1,2,2,81,1,2,3,2,1,,,,1,,4,4,9,2,2,1,,,0.9402547,
85,121,1,1,190110,1,3,5,3,5119,S,,1,1,1,2,1,1,2,,1,1,3,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,1,,1,1,1,2,12,2,1,1,99,1,4,3,2,1,,,,1,,6,3,2,2,2,1,,,0.7476859,
86,122,1,1,190110,1,2,20,1,20125,R,,2,2,2,,2,2,,,1,2,,2,2,2,2,,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,89,1,2,3,2,1,,,,1,,3,2,,2,2,1,,,0.8990387,
87,123,1,1,190110,1,2,27,1,27027,S,,2,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,1,1,2,2,2,1,2,2,,2,1,,,1,1,2,40,1,2,2,40,1,6,1,2,1,,,,1,,7,2,,3,2,1,,,0.9661302,
88,124,1,1,190110,1,3,47,4,47037,U,,2,1,1,4,1,1,2,,1,2,,,,,,,,,,,,1,2,1,1,2,1,2,2,1,3,,3,4,,2,2,1,12,1,1,1,23,2,3,4,2,1,,,,1,,1,2,,1,,1,,,1.0429094,
89,125,1,1,190110,1,2,20,1,20175,R,,1,1,1,2,2,1,2,,1,1,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,20,1,2,2,27,6,2,1,1,1,,,,1,1,6,9,8,1,,1,,,0.4666894,
90,126,1,1,190110,1,3,22,1,22011,R,,1,2,2,,2,2,,,2,,,2,2,2,2,,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,79,5,3,3,2,2,,,,2,,6,2,,1,,1,,,0.8127127,
91,127,1,1,190110,1,3,48,5,48439,U,,1,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,1,2,2,1,2,,,1,,3,2,1,2,0,,,,72,1,6,3,2,1,,,,1,,9,1,,2,2,1,,,0.5553983,
92,128,1,1,190110,1,2,55,3,55025,S,,1,1,1,2,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,1,2,2,2,2,,,5,,4,1,1,1,1,1,2,2,56,1,5,1,2,1,,,,1,,8,2,,4,3,1,,,0.6964894,
93,129,1,1,190110,1,2,29,1,29177,S,,2,1,2,2,1,1,2,,1,2,,,,,,,,,,,,2,2,1,2,2,2,2,2,2,,,1,,,2,1,2,52,1,2,2,73,5,5,3,2,5,,,,5,,3,3,2,1,,1,,,0.6756088,
94,130,1,1,190110,1,3,48,2,48309,U,,2,1,2,4,2,1,5,,1,2,,1,2,2,2,,2,2,2,,,2,2,1,2,2,2,2,2,2,,,5,,,2,1,2,12,1,2,1,83,3,5,3,2,5,,,,5,,1,1,,1,,1,,,0.7790468,
95,131,1,1,190110,1,2,17,1,17127,R,,1,2,2,,2,2,,,1,2,,2,2,2,2,,2,2,1,just don't want it,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,2,1,2,2,86,5,3,3,2,1,,,,1,,6,1,,1,,1,,,0.7134431,
96,133,1,1,190110,1,4,8,3,8005,S,,2,2,1,3,2,2,,,1,2,,2,2,2,2,,2,2,1,cant catch on to it,,2,2,1,2,2,2,2,2,2,,,2,,,1,2,2,0,,,,79,5,2,3,2,1,,,,1,,3,3,8,2,2,1,,,0.7997786,
97,134,1,1,190110,1,4,4,1,4013,S,,2,2,2,,2,2,,,2,,,2,2,1,2,,1,2,2,,8,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,78,5,8,6,2,1,,,,1,,98,2,,1,,2,,,0.5086793,
98,135,1,1,190110,1,4,30,1,30031,R,,2,1,1,5,2,1,2,,1,1,2,,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,1,1,2,0,,,,82,5,6,4,2,1,,,,1,,9,1,,1,,1,,,0.3474053,
99,136,1,1,190110,1,4,4,1,4019,S,,2,1,1,2,1,1,2,,1,1,3,,,,,,,,,,,2,2,1,2,1,2,1,1,2,,,4,,2,1,1,2,10,1,2,1,99,1,6,3,2,1,,,,1,,99,1,,2,2,1,,,0.3474053,
100,137,1,1,190110,1,4,49,3,49011,S,,2,1,1,5,1,1,2,,1,1,2,,,,,,,,,,,2,2,1,2,2,8,2,2,2,,,3,,,2,1,2,0,,,,74,5,3,1,2,1,,,,1,,5,1,,4,2,1,,,0.7997786,
101,138,1,1,190110,1,4,16,1,16075,R,,2,2,2,,2,2,,,1,2,,2,2,2,2,,2,2,2,,,2,2,2,2,2,2,2,2,2,,,,,,2,2,2,0,,,,65,5,3,6,2,1,,,,1,,1,2,,1,,1,,,0.5481477,
