title,year_release,subject,type_of_subject,subject_race,person_of_color,subject_sex
Compulsion,1959,Richard Loeb,Criminal,White,No,Male
Copying Beethoven,2006,Ludwig van Beethoven,Musician,White,No,Male
Counterpunch,2013,Alvaro Orlando,Athlete,Hispanic,Yes,Male
Cromwell,1970,Oliver Cromwell ,Historical,White,No,Male
Cry Freedom,1987,Steve Biko,Activist,Black,Yes,Male
Custer of the West,1967,George Armstrong Custer,Military,White,No,Male
Dahmer,2002,Jeffrey Dahmer ,Criminal,White,No,Male
Dangerous Beauty,1998,Veronica Franco,Other,White,No,Female
Dangerous Minds,1995,Louanne Johnson,Teacher,White,No,Female
Death in Granada,1996,Garcia Lorca,Author,Hispanic,No,Male
DeLovely,2004,Cole Porter,Musician,White,No,Male
Desert Dancer,2014,Afshin Ghaffarian,Artist,Middle Eastern,Yes,Male
Desert Flower,2009,Waris Dirie,Activist,Black,Yes,Female
Desiree,1954,Desiree Clary,Historical,White,No,Female
Desiree,1954,Napoleon Bonaparte,Historical,White,No,Male
Devotion,1946,Charlotte Bronte,Author,White,No,Female
Devotion,1946,Emily Bronte,Author,White,No,Female
Devotion,1946,Anne Bronte,Author,White,No,Female
Diana,2013,Princess Diana,Other,White,No,Female
Dillinger,1945,John Dillinger,Criminal,White,No,Male
Disraeli,1929,Benjamin Disraeli,Government,White,No,Male
Domino,2005,Domino Harvey,Other,White,No,Female
Donnie Brasco,1997,Joe Pistone ,Government,White,No,Male
Downtown 81,1981,JeanMichel Basquiat,Artist,Mutliracial,Yes,Male
Dr Ehrlichs Magic Bullet,1940,Paul Ehrlich,Medicine,White,No,Male
Dragon  The Bruce Lee Story,1993,Bruce Lee,Athlete,Asian,Yes,Male
Edison the Man,1940,Thomas Edison,Academic,White,No,Male
Eichmann,2007,Adolf Eichmann,Military,White,No,Male
El cantante,2006,Hector Lavoe,Musician,Hispanic,Yes,Male
El Cid,1961,Rodrigo Diaz,Historical,Hispanic,No,Male
Elizabeth,1998,Elizabeth I of England ,Historical,White,No,Female
Elizabeth The Golden Age,2007,Elizabeth I of England ,Historical,White,No,Female
Evel Knievel,1971,Evel Knievel,Athlete,White,No,Male
Evita,1996,Eva Peron,Actress,Hispanic,No,Female
Exodus  Gods and Kings,2014,Moses,Historical,Middle Eastern,No,Male
Factory Girl,2006,Edie Sedgwick,Actress,White,No,Female
Fair Game,2010,Valerie Plame,Government,White,No,Female
Fat Man and Little Boy,1989,Robert Oppenheimer,Academic,White,No,Male
Fat Man and Little Boy,1989,Leslie Groves,Military,White,No,Male
Fellinis Casanova,1976,Giacomo Casanova,Historical,White,No,Male
Find Me Guilty,2006,Jackie DiNorscio ,Criminal,White,No,Male
Finding Graceland,1998,Elvis Presley,Musician,White,No,Male
Finding Neverland,2004,JM Barrie,Author,White,No,Male
Foxcatcher,2014,Mark Schultz ,Athlete,White,No,Male
Frances,1982,Frances Farmer,Actress,White,No,Female
Francis of Assisi,1961,Francis Bernardone,Historical,White,No,Male
Frank and Jesse,1995,Frank James,Criminal,White,No,Male
Frank and Jesse,1995,Jesse James,Criminal,White,No,Male
Frankie and Alice,2010,Frankie Murdoch,Other,Black,Yes,Female
Freedom Writers,2007,Erin Gruwell,Other,White,No,Female
Freud,1962,Sigmund Freud,Academic,White,No,Male
Frida,2002,Frida Kahlo,Artist,Hispanic,Yes,Female
Fruitvale Station,2013,Oscar Grant III,Other,Black,Yes,Male
Funny Girl,1968,Fanny Brice,Actress,White,No,Female
Fur An Imaginary Portrait of Diane Arbus,2006,Diane Arbus,Other,White,No,Female
Gandhi,1982,Mahatma Gandhi,Activist,Asian,Yes,Male
Gentleman Jim,1942,James J Corbett,Athlete,White,No,Male
Geronimo,1962,Geronimo,Military,Native American,Yes,Male
Get on Up,2014,James Brown,Singer,Black,Yes,Male
Get Rich or Die Tryin,2005,Curtis 50 Cent Jackson,Singer,Black,Yes,Male
Girl with a Pearl Earring,2003,Johannes Vermeer,Artist,White,No,Male
Gods and Monsters,1998,James Whale,Other,White,No,Male
Goltzius and the Pelican Company,2012,Hendrik Goltzius,Artist,White,No,Male
Goodfellas,1990,Henry Hill,Criminal,White,No,Male
Goyas Ghosts,2006,Francisco Goya,Artist,Hispanic,No,Male
Grace of Monaco,2014,Grace Kelly,Actress,White,No,Male
Gracie,2007,Elisabeth Shue,Athlete,White,No,Female
Greased Lightning,1977,Wendell Scott,Athlete,Black,Yes,Male
Grey Owl,1999,Archibald Belaney,Other,Mutliracial,Yes,Male
Gypsy,1962,Gypsy Rose Lee,Artist,White,No,Female
Gypsy,1962,Rose Thompson Hovick,Other,White,No,Female
Hans Christian Andersen,1952,Hans Christian Andersen,Author,White,No,Male
Harlow,1965,Jean Harlow,Actress,White,No,Female
Heart Like a Wheel,1983,Shirley Muldowney,Athlete,White,No,Female
Heaven and Earth,1993,Le Ly Hayslip,Other,Asian,Yes,Female
Hell to Eternity,1960,Guy Gabaldon,Military,Hispanic,Yes,Male
Henry and June,1990,Henry Miller,Author,White,No,Male
Henry and June,1990,Anais Nin,Author,White,No,Female
Henry and June,1990,June Miller,Other,White,No,Female
Henry V,1944,Henry V of England,Historical,White,No,Male
Henry V,1989,Henry V of England,Historical,White,No,Male
High Roller The Stu Ungar Story,2003,Stu Ungar,Other,White,No,Male
Hilary and Jackie,1998,Jacqueline du Pre,Musician,White,No,Female
Hilary and Jackie,1998,Hilary du Pre,Musician,White,No,Female
His Majesty OKeefe,1954,David Dion OKeefe,Other,White,No,Male
Hitchcock,2012,Alfred Hitchcock,Other,White,No,Male
Hitchcock,2012,Alma Reville,Other,White,No,Female
Hitler  A Film from Germany,1977,Adolf Hitler,Military,White,No,Male
Hitler  The Last Ten Days,1973,Adolf Hitler,Military,White,No,Male
Hoffa,1992,Jimmy Hoffa,Activist,White,No,Male
Houdini,1953,Harry Houdini,Other,White,No,Male
Howl,2010,Allen Ginsberg,Author,White,No,Male
Hunger,2008,Bobby Sands,Activist,White,No,Male
Hyde Park on Hudson,2012,Franklin Delano Roosevelt,Government,White,No,Male
I Am a Sex Addict,2005,Caveh Zahedi,Actor,Middle Eastern,Yes,Male
I Shot Andy Warhol,1996,Valerie Solanas,Activist,Hispanic,No,Female
If You Could See What I Hear,1982,Tom Sullivan,Singer,White,No,Male
Ill Cry Tomorrow,1955,Lillian Roth,Actress,White,No,Female
Ill See You in My Dreams,1951,Gus Kahn,Musician,White,No,Male
Im Not There,2007,Bob Dylan,Musician,White,No,Male
Immortal Beloved,1994,Ludwig van Beethoven,Musician,White,No,Male
Impromptu,1991,Frederic Chopin,Musician,White,No,Male
Impromptu,1991,George Sand,Other,White,No,Female
In Love and War,1996,Ernest Hemingway,Media,White,No,Male
In Love and War,1996,Agnes von Kurowsky,Other,White,No,Female
In the Name of the Father,1993,Gerry Conlon,Other,White,No,Male
Interrupted Melody,1955,Marjorie Lawrence,Singer,White,No,Female
Invictus,2009,Francois Pienaar,Athlete,White,No,Male
Invictus,2009,Nelson Mandela,Government,Black,Yes,Male
Iris,2001,Iris Murdoch,Author,White,No,Female
Isnt She Great,2000,Jacqueline Susann,Author,White,No,Female
iSteve,2013,Steve Jobs,Other,Mutliracial,Yes,Male
J Edgar,2011,J Edgar Hoover,Government,White,No,Male
Jappeloup,2013, Pierre Durand Jr,Athlete,White,No,Male
Jean Charles,2009,Jean Charles de Menezes,Other,White,No,Male
Jefferson in Paris,1995,Thomas Jefferson,Historical,White,No,Male
Jersey Boys,2014,Bob Gaudio,Musician,White,No,Male
Jersey Boys,2014,Frankie Valli,Musician,White,No,Male
Jersey Boys,2014,Nick Massi,Musician,White,No,Male
Jersey Boys,2014,Tommy DeVito,Musician,White,No,Male
Jesse James,1939,Jesse James,Criminal,White,No,Male
Jim Thorpe  AllAmerican,1951,Jim Thorpe,Athlete,Native American,Yes,Male
Jimi  All Is by My Side,2013,Jimi Hendrix,Musician,Mutliracial,Yes,Male
Jinnah,1998,Mohammad Ali Jinnah,Other,Middle Eastern,Yes,Male
Jo Jo Dancer Your Life Is Calling,1986,Richard Pryor,Comedian,Black,Yes,Male
Joan of Arc,1948,Joan of Arc ,Historical,White,No,Female
Jobs,2013,Steve Jobs,Other,Mutliracial,Yes,Male
John Paul Jones,1959,John Paul Jones,Military,White,No,Male
Juarez,1939,Benito Juarez,Government,Hispanic,Yes,Male
Kill the Irishman,2011,Danny Greene,Criminal,White,No,Male
Kill Your Darlings,2013,Allen Ginsberg ,Author,White,No,Male
Killer  A Journal of Murder,1995,Carl Panzram,Criminal,White,No,Male
King David,1985,David,Historical,Middle Eastern,No,Male
King of Kings,1961,Jesus,Historical,Middle Eastern,No,Male
Kinsey,2004,Alfred Kinsey,Academic,White,No,Male
Klimt,2006,Gustav Klimt,Artist,White,No,Male
Knute Rockne All American,1940,Knute Rockne,Athlete,White,No,Male
Korczak,1990,Janusz Korczak,Other,White,No,Male
Kundun,1997,Dalai Lama ,Activist,Asian,Yes,Male
La Bamba,1987,Ritchie Valens,Musician,Hispanic,Yes,Male
La Vie en Rose,2007,Edith Piaf,Singer,White,No,Female
Lady Sings the Blues,1972,Billie Holiday,Musician,Black,Yes,Female
Last Days,2005,Kurt Cobain,Musician,White,No,Male
Lawrence of Arabia,1962,Thomas Edward Lawrence,Military,White,No,Male
Lee Daniels The Butler,2013,Cecil Gaines,Other,Black,Yes,Male
Lenny,1974,Lenny Bruce,Comedian,White,No,Male
Lincoln,2012,Abraham Lincoln,Government,White,No,Male
Lion of the Desert,1981,Omar Mukhtar,Activist,Middle Eastern,Yes,Male
Lisztomania,1975,Franz Liszt,Musician,White,No,Male
Little Ashes,2008,Salvador Dali,Artist,Mutliracial,Yes,Male
Lords of Dogtown,2005,Tony Alva,Athlete,Hispanic,Yes,Male
Louis Cyr,2013,Louis Cyr,Athlete,White,No,Male
Love and Mercy,2014,Brian Wilson,Musician,White,No,Male
Love Is a ManySplendored Thing,1955,Han Suyin,Other,Asian,Yes,Female
