title,year_release,subject,type_of_subject,subject_race,person_of_color,subject_sex
The Happy Hooker,1975,Xaviera Hollander,Other,White,No,Female
The House of Rothschild,1934,Mayer Rothschild,Other,White,No,Male
The Hurricane,1999,Rubin Carter,Athlete,Black,Yes,Male
The Iceman,2012,Richard Kuklinski,Criminal,White,No,Male
The Imitation Game,2014,Alan Turing,Academic,White,No,Male
The Inn of the Sixth Happiness,1958,Gladys Aylward,Other,White,No,Female
The Invisible Woman,2013,Charles Dickens,Author,White,No,Male
The Iron Lady,2011,Margaret Thatcher,Government,White,No,Female
The Jackie Robinson Story,1950,Jackie Robinson,Athlete,Black,Yes,Male
The Jesus Film,1979,Jesus,Historical,Middle Eastern,No,Male
The Jolson Story,1946,Al Jolson,Musician,White,No,Male
The King and I,1956,Anna Leonowens,Other,Mutliracial,No,Female
The King of Kings,1927,Jesus,Historical,Middle Eastern,No,Male
The Kings Speech,2010,King George VI,Historical,White,No,Male
The Krays,1990,Reginald Kray,Criminal,Mutliracial,No,Male
The Krays,1990,Ronald Kray,Criminal,Mutliracial,No,Male
The Lady,2011,Aung San Suu Kyi,Activist,Asian,Yes,Female
The Last Emperor,1987,Henry Pu Yi,Government,Asian,Yes,Male
The Last King of Scotland,2006,Idi Amin,Other,Black,Yes,Male
The Last of Robin Hood,2013,Errol Flynn,Actor,White,No,Male
The Last Station,2009,Leo Tolstoy,Author,White,No,Male
The Left Handed Gun,1958,(Billy the Kid,Criminal,White,No,Male
The Life and Death of Peter Sellers,2004,Peter Sellers,Actor,White,No,Male
The Life of Emile Zola,1937,Emile Zola,Author,White,No,Male
The Long Day Closes,1992,Terence Davies,Other,White,No,Male
The Long Gray Line,1955,Marty Maher,Military,White,No,Male
The Longshots,2008,Jasmine Plummer,Athlete,Black,Yes,Female
The Lover,1992,Marguerite Duras,Other,White,No,Female
The Madness of King George,1994,George III of UK,Historical,White,No,Male
The Man Who Saw Tomorrow,1981,Michel de Nostredame,Academic,White,No,Male
The Message,1977,Muhammad,Historical,Middle Eastern,Yes,Male
The Miracle Maker,2000,Jesus,Historical,Middle Eastern,No,Male
The Miracle Worker,1962,Helen Keller,Other,White,No,Female
The Miracle Worker,1962,Annie Sullivan,Other,White,No,Female
The Motorcycle Diaries,2004,Che Guevara,Activist,Hispanic,No,Male
The Music Lovers,1970,Peter Ilych Tchaikovsky,Musician,White,No,Male
The New World,2005,Pocahontas,Historical,Native American,Yes,Female
The Night We Called It a Day,2003,Frank Sinatra,Singer,White,No,Male
The Notorious Bettie Page,2005,Bettie Page,Other,Mutliracial,No,Female
The Other Boleyn Girl,2008,Anne Boleyn,Historical,White,No,Female
The Other Boleyn Girl,2008,Mary Boleyn,Historical,White,No,Female
The People vs Larry Flynt,1996,Larry Flynt,Activist,White,No,Male
The Pianist,2002,Wladyslaw Szpilman,Musician,White,No,Male
The Pistol  The Birth of a Legend,1991,Pete Maravich,Athlete,White,No,Male
The Plainsman,1936,Wild Bill Hickok,Historical,White,No,Male
The Pride of the Yankees,1942,Lou Gehrig,Athlete,White,No,Male
The Prince of Egypt,1998,Moses,Historical,Middle Eastern,No,Male
The Prince of Egypt,1998,Ramses,Historical,Middle Eastern,No,Male
The Prisoner of Shark Island,1936,Samuel Mudd,Medicine,White,No,Male
The Private Life of Henry VIII,1933,Henry VIII,Historical,White,No,Male
The Private Lives of Elizabeth and Essex,1939,Elizabeth I of England,Historical,White,No,Female
The Private Lives of Elizabeth and Essex,1939,Robert Devereux 2nd Earl of Essex,Historical,White,No,Male
The Pursuit of Happyness,2006,Christopher Gardner,Other,Black,Yes,Male
The Queen,2006,Queen Elizabeth II,Historical,White,No,Female
The Red Baron,2008,Baron Manfred von Richthofen,Military,White,No,Male
The Rocket  The Legend of Rocket Richard,2005,Maurice The Rocket Richard,Athlete,White,No,Male
The Runaways,2010,Joan Jett,Musician,White,No,Female
The Seven Little Foys,1955,Eddie Foy Sr,Actor,White,No,Male
The Singing Nun,1966,Jeanne Deckers ,Musician,White,No,Female
The Soloist,2009,Nathaniel Ayers,Musician,Black,Yes,Male
The Song of Bernadette,1943,Saint Bernadette Soubirous,Other,White,No,Female
The Soul Keeper,2002,Carl Gustav Jung,Academic,White,No,Male
The Soul Keeper,2002,Sabina Spielrein,Academic,White,No,Female
The Sound of Music,1965,Maria von Trapp,Singer,White,No,Female
The Spirit of St Louis,1957,Charles Slim Lindbergh,Other,White,No,Male
The Story of Alexander Graham Bell,1939,Alexander Graham Bell,Academic,White,No,Male
The Story of Louis Pasteur,1936,Louis Pasteur,Academic,White,No,Male
The Ten Commandments,1956,Moses,Historical,Middle Eastern,No,Male
The Theory of Everything,2014,Steven Hawking,Academic,White,No,Male
The Toast of New York,1937,James Fisk,Criminal,White,No,Male
The Trials of Oscar Wilde,1960,Oscar Wilde,Author,White,No,Male
The True Story of Jesse James,1957,Jesse James,Criminal,White,No,Male
The Unsinkable Molly Brown,1964,Molly Brown,Other,White,No,Female
The Visual Bible  The Gospel of John,2003,Jesus,Historical,Middle Eastern,No,Male
The Whistleblower,2010,Kathryn Bolkovac,Other,White,No,Female
The Whole Wide World,1996,Novalyne Price ,Author,Mutliracial,No,Female
The Whole Wide World,1996,Robert Howard,Author,White,No,Male
The Winning Team,1952,Grover Cleveland Alexander,Athlete,White,No,Male
The Wonderful World of the Brothers Grimm,1961,Jacob Grimm,Author,White,No,Male
The Wonderful World of the Brothers Grimm,1961,Wilhelm Grimm,Author,White,No,Male
The Worlds Fastest Indian,2005,Herbert James Burt Munro,Athlete,White,No,Male
The Young Victoria,2009,Victoria,Historical,White,No,Female
They Died with Their Boots On,1941,George Armstrong Custer,Military,White,No,Male
Thirteen,2003,Nikki Reed,Other,White,No,Female
Thirty Two Short Films About Glenn Gould,1993,Glenn Gould,Musician,White,No,Male
This Is Elvis,1981,Elvis Presley,Musician,White,No,Male
Thomas Kinkades Christmas Cottage,2008,Thomas Kinkade,Artist,White,No,Male
Three Little Words,1950,Bert Kalmar,Musician,White,No,Male
Three Little Words,1950,Harry Ruby,Musician,White,No,Male
Till the Clouds Roll By,1946,Jerome Kern,Musician,White,No,Male
To Hell and Back,1955,Audie Murphy,Military,White,No,Male
To Kill a King,2003,Oliver Cromwell,Historical,White,No,Male
To Kill a King,2003,Thomas Fairfax,Historical,White,No,Male
Tom and Viv,1994,TS Eliot,Author,White,No,Male
Tom and Viv,1994,Vivienne HaighWood,Author,White,No,Female
TopsyTurvy,1999,William Schwenck Gilbert,Author,White,No,Male
TopsyTurvy,1999,Arthur Sullivan,Musician,White,No,Male
Triumph of the Spirit,1989,Salamo Arouch,Athlete,White,No,Male
Unbroken,2014,Louis Zamperini,Athlete,White,No,Male
Valentino,1977,Rudolph Valentino,Actor,White,No,Male
Vatel,2000,Fran̤ois Vatel,Other,White,No,Male
Veronica Guerin,2003,Veronica Guerin,Media,White,No,Female
Vincent and Theo,1990,Vincent Van Gogh,Artist,White,No,Male
Vincent and Theo,1990,Theo van Gogh,Other,White,No,Male
VIPs,2010,Marcelo Nascimento da Rocha,Criminal,White,No,Male
Viva Knievel!,1977,Evel Knievel,Athlete,White,No,Male
Viva Villa!,1934,Pancho Villa,Military,Hispanic,Yes,Male
Viva Zapata!,1952,Emiliano Zapata,Activist,Hispanic,Yes,Male
Von Richthofen and Brown,1971,Manfred von Richtofen,Military,White,No,Male
Von Richthofen and Brown,1971,Roy Brown,Military,White,No,Male
W,2008,George W Bush,Government,White,No,Male
Walk the Line,2005,Johnny Cash,Musician,White,No,Male
Walker,1987,William Walker,Other,White,No,Male
Whats Love Got to Do with It,1993,Tina Turner,Singer,Mutliracial,Yes,Female
When Did You Last See Your Father,2007,Blake Morrison,Other,White,No,Male
Why Do Fools Fall in Love,1998,Frankie Lymon,Musician,Black,Yes,Male
Wild Bill,1995,Wild Bill Hickok,Historical,White,No,Male
Wilde,1997,Oscar Wilde,Author,White,No,Male
Wilson,1944,Woodrow Wilson,Government,White,No,Male
Winnie Mandela,2011,Winnie Mandela,Government,Black,Yes,Female
Without Limits,1998,Steve Prefontaine,Athlete,White,No,Male
Wittgenstein,1993,Ludwig Wittgenstein,Academic,White,No,Male
Words and Music,1948,Lorenz Hart,Musician,White,No,Male
Words and Music,1948,Richard Rogers,Musician,White,No,Male
Wyatt Earp,1994,Wyatt Earp ,Other,White,No,Male
Yankee Doodle Dandy,1942,George M Cohan,Musician,White,No,Male
Young Bess,1953,Elizabeth I,Historical,White,No,Female
Young Cassidy,1965,Sean OCasey,Author,White,No,Male
Young Man with a Horn,1950,Bix Beiderbecke,Musician,White,No,Male
Young Mr Lincoln,1939,Abraham Lincoln,Government,White,No,Male
Young Tom Edison,1940,Thomas Edison,Other,White,No,Male
Young Winston,1972,Winston Churchill,Government,White,No,Male
